Fecha,PMCO,Est
2015-01-01,14.365533377483542,AJM
2015-01-02,11.900035661113778,AJM
2015-01-03,8.622719365750031,AJM
2015-01-04,14.84389803334235,AJM
2015-01-05,12.761486540281652,AJM
2015-01-06,14.276779634068864,AJM
2015-01-07,15.115327307099308,AJM
2015-01-08,11.66365948016687,AJM
2015-01-09,19.446725568426228,AJM
2015-01-10,11.034748554499059,AJM
2015-01-11,9.576917987221249,AJM
2015-01-12,15.59316796221116,AJM
2015-01-13,20.907698060800467,AJM
2015-01-14,23.159132281457,AJM
2015-01-15,21.079979941874807,AJM
2015-01-16,20.006323034824565,AJM
2015-01-17,20.25,AJM
2015-01-18,17.958333333333332,AJM
2015-01-19,25.375,AJM
2015-01-20,24.791666666666668,AJM
2015-01-21,19.0,AJM
2015-01-22,10.678604915898902,AJM
2015-01-23,13.0,AJM
2015-01-24,15.543922005792913,AJM
2015-01-25,17.375,AJM
2015-01-26,17.0,AJM
2015-01-27,24.041666666666668,AJM
2015-01-28,17.916666666666668,AJM
2015-01-29,15.281796438292664,AJM
2015-01-30,22.645951734815444,AJM
2015-01-31,20.875,AJM
2015-02-01,7.416666666666667,AJM
2015-02-02,11.374690088116678,AJM
2015-02-03,10.708333333333334,AJM
2015-02-04,14.083333333333334,AJM
2015-02-05,20.833333333333332,AJM
2015-02-06,23.5,AJM
2015-02-07,18.208333333333332,AJM
2015-02-08,17.458333333333332,AJM
2015-02-09,17.333333333333332,AJM
2015-02-10,21.166666666666668,AJM
2015-02-11,16.705948312808435,AJM
2015-02-12,8.456926411623272,AJM
2015-02-13,11.679453922824239,AJM
2015-02-14,18.51826145707943,AJM
2015-02-15,19.291666666666668,AJM
2015-02-16,9.355456840859649,AJM
2015-02-17,11.916666666666666,AJM
2015-02-18,19.569101992907378,AJM
2015-02-19,20.203367755488753,AJM
2015-02-20,17.979446627081142,AJM
2015-02-21,15.94085402937234,AJM
2015-02-22,16.3926460608405,AJM
2015-02-23,20.166356754783344,AJM
2015-02-24,30.916666666666668,AJM
2015-02-25,19.833333333333332,AJM
2015-02-26,16.875,AJM
2015-02-27,19.76047272442004,AJM
2015-02-28,14.76282037483381,AJM
2015-03-01,18.375,AJM
2015-03-02,20.0,AJM
2015-03-03,23.792043263843652,AJM
2015-03-04,27.45778981531846,AJM
2015-03-05,32.88498550597549,AJM
2015-03-06,29.625,AJM
2015-03-07,29.009336078346113,AJM
2015-03-08,21.75,AJM
2015-03-09,20.041666666666668,AJM
2015-03-10,13.322300500678146,AJM
2015-03-11,5.706259981905564,AJM
2015-03-12,4.670326283035848,AJM
2015-03-13,3.8054008891251403,AJM
2015-03-14,4.615745742528418,AJM
2015-03-15,4.416666666666667,AJM
2015-03-16,5.131880742056478,AJM
2015-03-17,9.377353155096147,AJM
2015-03-18,8.65807759336915,AJM
2015-03-19,11.393910884708808,AJM
2015-03-20,10.923293097184507,AJM
2015-03-21,9.201669532704363,AJM
2015-03-22,7.625,AJM
2015-03-23,7.3110100375773435,AJM
2015-03-24,6.901564705748931,AJM
2015-03-25,7.416666666666667,AJM
2015-03-26,6.514671116213812,AJM
2015-03-27,10.625,AJM
2015-03-28,5.199728503491129,AJM
2015-03-29,3.9583333333333335,AJM
2015-03-30,9.666666666666666,AJM
2015-03-31,13.208333333333334,AJM
2015-04-01,13.375,AJM
2015-04-02,9.791666666666666,AJM
2015-04-03,7.625,AJM
2015-04-04,9.875,AJM
2015-04-05,11.541666666666666,AJM
2015-04-06,19.166666666666668,AJM
2015-04-07,20.36361911195442,AJM
2015-04-08,19.25,AJM
2015-04-09,21.38730870020909,AJM
2015-04-10,21.636443477325326,AJM
2015-04-11,14.364885021559571,AJM
2015-04-12,10.166666666666666,AJM
2015-04-13,15.666666666666666,AJM
2015-04-14,13.875,AJM
2015-04-15,14.004256957603914,AJM
2015-04-16,15.291666666666666,AJM
2015-04-17,18.530113367887502,AJM
2015-04-18,15.958333333333334,AJM
2015-04-19,9.333333333333334,AJM
2015-04-20,15.125,AJM
2015-04-21,20.791666666666668,AJM
2015-04-22,23.375,AJM
2015-04-23,17.375,AJM
2015-04-24,10.541666666666666,AJM
2015-04-25,14.166666666666666,AJM
2015-04-26,14.541666666666666,AJM
2015-04-27,14.541666666666666,AJM
2015-04-28,21.458333333333332,AJM
2015-04-29,12.333333333333334,AJM
2015-04-30,9.13782037483381,AJM
2015-05-01,11.958333333333334,AJM
2015-05-02,9.334058663340034,AJM
2015-05-03,7.980743791731641,AJM
2015-05-04,10.322104693474197,AJM
2015-05-05,8.566341826868245,AJM
2015-05-06,8.611899448626216,AJM
2015-05-07,9.537912170097588,AJM
2015-05-08,6.5272787651439215,AJM
2015-05-09,9.791666666666666,AJM
2015-05-10,14.591135447062562,AJM
2015-05-11,11.056657671752033,AJM
2015-05-12,8.208333333333334,AJM
2015-05-13,7.958333333333333,AJM
2015-05-14,6.625,AJM
2015-05-15,8.791666666666666,AJM
2015-05-16,6.416666666666667,AJM
2015-05-17,6.166666666666667,AJM
2015-05-18,11.5,AJM
2015-05-19,15.416666666666666,AJM
2015-05-20,13.083333333333334,AJM
